year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2024,64,UConn,1,91,Stetson,16,52
2024,64,Northwestern,9,77,Florida Atlantic,8,65
2024,64,San Diego State,5,69,UAB,12,65
2024,64,Yale,13,78,Auburn,4,76
2024,64,Duquesne,11,71,BYU,6,67
2024,64,Illinois,3,85,Morehead State,14,69
2024,64,Washington State,7,66,Drake,10,61
2024,64,Iowa State,2,82,South Dakota State,15,65
2024,32,UConn,1,75,Northwestern,9,58
2024,32,San Diego State,5,85,Yale,13,57
2024,32,Illinois,3,89,Duquesne,11,63
2024,32,Iowa State,2,67,Washington State,7,56
2024,16,UConn,1,82,San Diego State,5,52
2024,16,Illinois,3,72,Iowa State,2,69
2024,8,UConn,1,77,Illinois,3,52
2024,64,North Carolina,1,90,Wagner,16,62
2024,64,Michigan State,9,69,Mississippi State,8,51
2024,64,Grand Canyon,12,75,Saint Mary's,5,66
2024,64,Alabama,4,109,Charleston,13,96
2024,64,Clemson,6,77,New Mexico,11,56
2024,64,Baylor,3,92,Colgate,14,67
2024,64,Dayton,7,63,Nevada,10,60
2024,64,Arizona,2,85,Long Beach State,15,65
2024,32,North Carolina,1,85,Michigan State,9,69
2024,32,Alabama,4,72,Grand Canyon,12,61
2024,32,Clemson,6,72,Baylor,3,64
2024,32,Arizona,2,78,Dayton,7,68
2024,16,Alabama,4,89,North Carolina,1,87
2024,16,Clemson,6,77,Arizona,2,72
2024,8,Alabama,4,89,Clemson,6,82
2024,64,Houston,1,86,Longwood,16,46
2024,64,Texas A&M,9,98,Nebraska,8,83
2024,64,James Madison,12,72,Wisconsin,5,61
2024,64,Duke,4,64,Vermont,13,47
2024,64,NC State,11,80,Texas Tech,6,67
2024,64,Oakland,14,80,Kentucky,3,76
2024,64,Colorado,10,102,Florida,7,100
2024,64,Marquette,2,87,Western Kentucky,15,69
2024,32,Houston,1,100,Texas A&M,9,95
2024,32,Duke,4,93,James Madison,12,55
2024,32,NC State,11,79,Oakland,14,73
